站号,站名,纬度,经度,海拔高度
Z9719,十堰,32.599,110.744,794
Z9736,常德,29.175,111.704,552
Z9010,北京SA,39.809,116.472,31
Z9746,永州,26.225,111.616,167
Z9200,广州,23.004,113.355,144
Z9220,塘沽,39.044,117.718,4
Z9230,重庆,29.523,106.489,349
Z9240,沈阳,41.923,123.649,255
Z9270,武汉,30.517,114.377,53
Z9745,怀化,27.629,110.004,546
Z9751,韶关,24.792,113.566,280
Z9280,成都,30.413,104.234,975
Z9753,梅州,24.256,115.975,415
Z9290,西安,34.445,108.972,407
Z9754,汕头,23.282,116.742,170
Z9755,深圳,22.646,113.846,302
Z9772,柳州,24.357,109.456,325
Z9773,桂林,25.323,110.303,162
Z9311,石家庄,38.351,114.712,70
Z9314,承德,40.974,117.919,427
Z9351,太原,37.842,112.677,1169
Z9791,南昌,28.589,115.885,50
Z9792,九江,29.534,115.955,1320
Z9796,吉安,27.050,114.910,64
Z9352,大同,40.072,113.390,1056
Z9797,赣州,25.880,114.970,257
Z9357,临汾,36.062,111.494,430
Z9370,商丘,34.413,115.632,49
Z9816,绵阳,31.453,104.765,490
Z9817,南充,30.822,106.078,358
Z9371,郑州,34.704,113.698,107
Z9831,宜宾,28.820,104.578,443
Z9377,南阳,33.021,112.493,151
Z9393,濮阳,35.776,114.945,54
Z9396,驻马店,33.009,114.020,81
Z9398,三门峡,34.679,111.129,729
Z9411,大连,38.908,121.648,166
Z9417,营口,40.643,122.520,166
Z9834,西昌,27.879,102.411,2688
Z9839,广元,32.406,105.823,929
Z9431,长春,43.718,125.468,387
Z9851,贵阳,26.589,106.728,1220
Z9436,白城,45.615,122.796,155
Z9451,哈尔滨,45.981,127.242,167
Z9857,毕节,27.304,105.301,1568
Z9870,昭通,27.352,103.720,1949
Z9871,昆明,25.052,102.578,2458
Z9453,牡丹江,44.595,129.426,414
Z9876,文山,23.477,104.250,1748
Z9879,思茅,22.825,101.020,1907
Z9454,佳木斯,46.796,130.318,81
Z9888,丽江,26.728,100.043,3154
Z9470,海拉尔,49.204,119.751,611
Z9471,呼和浩特,40.982,111.700,2049
Z9475,通辽,43.620,122.261,183
Z9476,赤峰,42.234,118.966,813
Z9477,鄂尔多斯,39.813,110.040,1495
Z9891,拉萨,29.660,91.134,3648
Z9898,海口,19.996,110.246,50
Z9911,延安,36.610,109.487,1145
Z9912,榆林,38.267,109.783,1157
